Infinitive,Partizip II,Hilfsverb
verzählen,verzählt,haben
hinunterspülen,hinuntergespült,haben
auslasten,ausgelastet,haben
röntgenisieren,röntgenisiert,haben
auflauern,aufgelauert,haben
nacharbeiten,nachgearbeitet,haben
nacharten,nachgeartet,sein
nachbauen,nachgebaut,haben
nachbereiten,nachbereitet,haben
vertrösten,vertröstet,haben
umrubeln,umgerubelt,haben
zwangspensionieren,zwangspensioniert,haben
vorfahren,vorgefahren,haben
überqueren,überquert,haben
alleinstehen,alleingestanden,haben
hinterherkleckern,hinterhergekleckert,sein
vorführen,vorgeführt,haben
zurückzahlen,zurückgezahlt,haben
übertreffen,übertroffen,haben
nachblättern,nachgeblättert,haben
zulegen,zugelegt,haben
verkohlen,verkohlt,sein
herunterfließen,heruntergeflossen,sein
ausblenden,ausgeblendet,haben
eindämmen,eingedämmt,haben
nachgucken,nachgeguckt,haben
sticheln,gestichelt,haben
nachtanken,nachgetankt,haben
überschatten,überschattet,haben
nachschauen,nachgeschaut,haben
persistieren,persistiert,haben
vierteln,geviertelt,haben
verklingen,verklungen,sein
aufrüsten,aufgerüstet,haben
zurückdrängen,zurückgedrängt,haben
wegbrechen,weggebrochen,sein
anpöbeln,angepöbelt,haben
abschwächen,abgeschwächt,haben
umformulieren,umformuliert,haben
einlernen,eingelernt,haben
herunterfahren,heruntergefahren,haben
ausdrucken,ausgedruckt,haben
fernhalten,ferngehalten,haben
übermitteln,übermittelt,haben
zwangsernähren,zwangsernährt,haben
zusammenfallen,zusammengefallen,sein
offenlegen,offengelegt,haben
ausrauben,ausgeraubt,haben
nachkommen,nachgekommen,sein
auffordern,aufgefordert,haben
häufen,gehäuft,haben
ausspannen,ausgespannt,haben
anspannen,angespannt,haben
selfien,geselfiet,haben
abächzen,abgeächzt,haben
abachen,abgeacht,haben
abackern,abgeackert,haben
nachbehandeln,nachbehandelt,haben
nutznießen,genutznießt,haben
nachbeten,nachgebetet,haben
vorbeten,vorgebetet,haben
aberziehen,aberzogen,haben
nachplappern,nachgeplappert,haben
scheuern,gescheuert,haben
nachbohren,nachgebohrt,haben
verjuxen,verjuxt,haben
anprobieren,anprobiert,haben
nachbringen,nachgebracht,haben
erlaufen,erlaufen,haben
anherrschen,angeherrscht,haben
anbrüllen,angebrüllt,haben
hineinschreiben,hineingeschrieben,haben
reinschreiben,reingeschrieben,haben
durchkentern,durchgekentert,sein
nachgären,nachgegoren,haben
nachempfinden,nachempfunden,haben
anpicken,angepickt,haben
rumgammeln,rumgegammelt,haben
draften,gedraftet,haben
oblomowieren,oblomowiert,haben
bläuen,gebläut,haben
nachhallen,nachgehallt,haben
bezaubern,bezaubert,haben
einlösen,eingelöst,haben
perlen,geperlt,haben
durchschwimmen,durchschwommen,haben
verdaddeln,verdaddelt,haben
nachspionieren,nachspioniert,haben
mythologisieren,mythologisiert,haben
mythisieren,mythisiert,haben
verbaseln,verbaselt,haben
mystifizieren,mystifiziert,haben
verunreinigen,verunreinigt,haben
ablesen,abgelesen,haben
durchlesen,durchgelesen,haben
durcharbeiten,durchgearbeitet,haben
mylonitisieren,mylonitisiert,haben
mitarbeiten,mitgearbeitet,haben
zuarbeiten,zugearbeitet,haben
berechtigen,berechtigt,haben
hinterherspionieren,hinterherspioniert,haben
durchbringen,durchgebracht,haben
patinieren,patiniert,haben
zumauern,zugemauert,haben
durchfretten,durchgefrettet,haben
durchbeißen,durchgebissen,haben
aussuchen,ausgesucht,haben
abspicken,abgespickt,haben
einhalten,eingehalten,haben
mutilieren,mutiliert,haben
zersetzen,zersetzt,haben
moderieren,moderiert,haben
aufhellen,aufgehellt,haben
dekorieren,dekoriert,haben
verbreitern,verbreitert,haben
bilanzieren,bilanziert,haben
durchschlagen,durchgeschlagen,haben
witzeln,gewitzelt,haben
abschmecken,abgeschmeckt,haben
abmelden,abgemeldet,haben
umleiten,umgeleitet,haben
ummelden,umgemeldet,haben
entgegnen,entgegnet,haben
entlaufen,entlaufen,sein
ausrenken,ausgerenkt,haben
antreffen,angetroffen,haben
einrenken,eingerenkt,haben
verrenken,verrenkt,haben
durchhauen,durchgehauen,haben
beaufsichtigen,beaufsichtigt,haben
beglaubigen,beglaubigt,haben
bereden,beredet,haben
begutachten,begutachtet,haben
bestranden,bestrandet,haben
beordern,beordert,haben
ausstallieren,ausstalliert,haben
beangaben,beangabt,haben
beargwöhnen,beargwöhnt,haben
beladen,beladen,haben
befreunden,befreundet,haben
behängen,behängt,haben
beschauen,beschaut,haben
verdrehen,verdreht,haben
fahnden,gefahndet,haben
wiederverwerten,wiederverwertet,haben
verwerten,verwertet,haben
mulchen,gemulcht,haben
benetzen,benetzt,haben
netzen,genetzt,haben
einnetzen,eingenetzt,haben
bereinigen,bereinigt,haben
richtigstellen,richtiggestellt,haben
minimisieren,minimisiert,haben
klapsen,geklapst,haben
antippen,angetippt,haben
anpacken,angepackt,haben
herumfingern,herumgefingert,haben
begießen,begossen,haben
herumfummeln,herumgefummelt,haben
schwächen,geschwächt,haben
abschwellen,abgeschwollen,sein
anschwellen,angeschwollen,sein
drankommen,drangekommen,sein
heranreichen,herangereicht,haben
zirpen,gezirpt,haben
zwirbeln,gezwirbelt,haben
trillern,getrillert,haben
zwischenlanden,zwischengelandet,sein
weiterfliegen,weitergeflogen,sein
zueignen,zugeeignet,haben
angehören,angehört,haben
defektieren,defektiert,haben
anrauchen,angeraucht,haben
malern,gemalert,haben
verfaulen,verfault,sein
keimen,gekeimt,haben
defibrillieren,defibrilliert,haben
verkeimen,verkeimt,haben
trällern,geträllert,haben
plappern,geplappert,haben
aneiern,angeeiert,sein
auspusten,ausgepustet,haben
berappeln,berappelt,haben
normalisieren,normalisiert,haben
verhackstücken,verhackstückt,haben
dödeln,gedödelt,haben
herumdödeln,herumgedödelt,haben
dudeln,gedudelt,haben
sulzen,gesulzt,haben
drudeln,gedrudelt,haben
stümpern,gestümpert,haben
sudeln,gesudelt,haben
klecksen,gekleckst,haben
patzen,gepatzt,haben
dröppeln,gedröppelt,haben
krickeln,gekrickelt,haben
urteilen,geurteilt,haben
knobeln,geknobelt,haben
rätseln,gerätselt,haben
nachsinnen,nachgesonnen,haben
auspflanzen,ausgepflanzt,haben
festmachen,festgemacht,haben
vollbringen,vollbracht,haben
stülpen,gestülpt,haben
krempeln,gekrempelt,haben
campieren,campiert,haben
stürmen,gestürmt,haben
wetzen,gewetzt,haben
wüten,gewütet,haben
zuckeln,gezuckelt,sein
zotteln,gezottelt,sein
einhüten,eingehütet,haben
trudeln,getrudelt,haben
zockeln,gezockelt,sein
prickeln,geprickelt,haben
pieksen,gepiekst,haben
trotteln,getrottelt,sein
dackeln,gedackelt,sein
gondeln,gegondelt,sein
schippern,geschippert,sein
tuckern,getuckert,sein
puckern,gepuckert,haben
pucken,gepuckt,haben
updaten,upgedatet,haben
stuckern,gestuckert,sein
holpern,geholpert,haben
humpeln,gehumpelt,sein
stochern,gestochert,haben
wursteln,gewurstelt,haben
wursten,gewurstet,haben
klempnern,geklempnert,haben
heimwerken,heimgewerkt,haben
palen,gepalt,haben
tischlern,getischlert,haben
frösteln,gefröstelt,haben
gruseln,gegruselt,haben
schaudern,geschaudert,haben
schauern,geschauert,haben
kreiseln,gekreiselt,sein
gödelisieren,gödelisiert,haben
wieseln,gewieselt,sein
bocken,gebockt,haben
geiern,gegeiert,haben
luchsen,geluchst,haben
hechten,gehechtet,sein
tigern,getigert,sein
zicken,gezickt,haben
berappen,berappt,haben
fuchsen,gefuchst,haben
schlängeln,geschlängelt,haben
lümmeln,gelümmelt,haben
bunkern,gebunkert,haben
bimsen,gebimst,haben
balzen,gebalzt,haben
walzen,gewalzt,haben
überleiten,übergeleitet,haben
abkürzen,abgekürzt,haben
heraufbemühen,heraufbemüht,haben
graulen,gegrault,haben
grunzen,gegrunzt,haben
brummeln,gebrummelt,haben
tölpeln,getölpelt,haben
sperbern,gesperbert,haben
illern,geillert,haben
gockeln,gegockelt,haben
lunzen,gelunzt,haben
flegeln,geflegelt,haben
lungern,gelungert,haben
jibbern,gejibbert,haben
punzen,gepunzt,haben
strudeln,gestrudelt,haben
quirlen,gequirlt,haben
filtrieren,filtriert,haben
armieren,armiert,haben
assistieren,assistiert,haben
salben,gesalbt,haben
sättigen,gesättigt,haben
sabotieren,sabotiert,haben
säkularisieren,säkularisiert,haben
sakralisieren,sakralisiert,haben
schematisieren,schematisiert,haben
thematisieren,thematisiert,haben
formalisieren,formalisiert,haben
individualisieren,individualisiert,haben
auspressen,ausgepresst,haben
schablonisieren,schablonisiert,haben
tafeln,getafelt,haben
labeln,gelabelt,haben
etikettieren,etikettiert,haben
normen,genormt,haben
selektieren,selektiert,haben
mechanisieren,mechanisiert,haben
modernisieren,modernisiert,haben
solidarisieren,solidarisiert,haben
computerisieren,computerisiert,haben
schmiegen,geschmiegt,haben
säuseln,gesäuselt,haben
rascheln,geraschelt,haben
gluckern,gegluckert,haben
schneidern,geschneidert,haben
sacken,gesackt,sein
schnipseln,geschnipselt,haben
schnibbeln,geschnibbelt,haben
säbeln,gesäbelt,haben
schnetzeln,geschnetzelt,haben
metzeln,gemetzelt,haben
schnitzeln,geschnitzelt,haben
zusammenschließen,zusammengeschlossen,haben
schnippen,geschnippt,haben
schnipsen,geschnipst,haben
schlemmen,geschlemmt,haben
schlämmen,geschlämmt,haben
klemmen,geklemmt,haben
prassen,geprasst,haben
schnarren,geschnarrt,haben
knarren,geknarrt,haben
rasseln,gerasselt,haben
surren,gesurrt,haben
dröhnen,gedröhnt,haben
schnauzen,geschnauzt,haben
schnallen,geschnallt,haben
gurten,gegurtet,haben
scharen,geschart,haben
gesellen,gesellt,haben
schniegeln,geschniegelt,haben
wummern,gewummert,haben
präsupponieren,präsupponiert,haben
schrammen,geschrammt,haben
schrubben,geschrubbt,haben
dritteln,gedrittelt,haben
fünfteln,gefünftelt,haben
schrumpeln,geschrumpelt,sein
rumpeln,gerumpelt,haben
rumsen,gerumst,haben
bullern,gebullert,haben
schmutzen,geschmutzt,haben
schirmen,geschirmt,haben
blocken,geblockt,haben
schustern,geschustert,haben
schnörkeln,geschnörkelt,haben
schleckern,geschleckert,haben
schwappen,geschwappt,haben
schwabbeln,geschwabbelt,haben
glibbern,geglibbert,sein
schwabbern,geschwabbert,haben
wabbeln,gewabbelt,haben
schlappern,geschlappert,haben
labbern,gelabbert,haben
schlenkern,geschlenkert,haben
promenieren,promeniert,haben
dürsten,gedürstet,haben
fermentieren,fermentiert,haben
siegeln,gesiegelt,haben
spachteln,gespachtelt,haben
speicheln,gespeichelt,haben
trainieren,trainiert,haben
spulen,gespult,haben
schriftstellern,geschriftstellert,haben
spötteln,gespöttelt,haben
schachteln,geschachtelt,haben
einschachteln,eingeschachtelt,haben
skaten,geskatet,haben
ineinanderschachteln,ineinandergeschachtelt,haben
sprayen,gesprayt,haben
säuern,gesäuert,haben
schnäbeln,geschnäbelt,haben
schnackeln,geschnackelt,haben
schrämen,geschrämt,haben
spornen,gespornt,haben
staksen,gestakst,sein
stöpseln,gestöpselt,haben
ekeln,geekelt,haben
stäuben,gestäubt,haben
stäupen,gestäupt,haben
stoppeln,gestoppelt,haben
stückeln,gestückelt,haben
portionieren,portioniert,haben
täfeln,getäfelt,haben
paneelieren,paneeliert,haben
tarieren,tariert,haben
paketieren,paketiert,haben
taillieren,tailliert,haben
tournieren,tourniert,haben
tattern,getattert,haben
tippeln,getippelt,sein
trompeten,trompetet,haben
ribbeln,geribbelt,haben
nibbeln,genibbelt,haben
patschen,gepatscht,haben
platschen,geplatscht,haben
übrighaben,übriggehabt,haben
knuspern,geknuspert,haben
tüpfeln,getüpfelt,haben
rupfen,gerupft,haben
süffeln,gesüffelt,haben
tunken,getunkt,haben
trutzen,getrutzt,haben
tuten,getutet,haben
tuschen,getuscht,haben
vespern,gevespert,haben
visieren,visiert,haben
visitieren,visitiert,haben
wiegeln,gewiegelt,haben
winseln,gewinselt,haben
wurzeln,gewurzelt,haben
wuscheln,gewuschelt,haben
wellen,gewellt,haben
kringeln,gekringelt,haben
ringeln,geringelt,haben
krausen,gekraust,haben
furchen,gefurcht,haben
fruchten,gefruchtet,haben
winkeln,gewinkelt,haben
zausen,gezaust,haben
strubbeln,gestrubbelt,haben
zieren,geziert,haben
zirkeln,gezirkelt,haben
zoomen,gezoomt,haben
voltigieren,voltigiert,haben
spionieren,spioniert,haben
rümpfen,gerümpft,haben
rucken,geruckt,haben
riegeln,geriegelt,haben
waterboarden,gewaterboardet,haben
reuen,gereut,haben
heuen,geheut,haben
reihen,gereiht,haben
räubern,geräubert,haben
verschulen,verschult,haben
rastern,gerastert,haben
einparken,eingeparkt,haben
rahmen,gerahmt,haben
rädern,gerädert,haben
pulvern,gepulvert,haben
pulsen,gepulst,haben
takten,getaktet,haben
prunken,geprunkt,haben
prosten,geprostet,haben
posen,gepost,haben
polstern,gepolstert,haben
pirschen,gepirscht,haben
pieschern,gepieschert,haben
segelfliegen,segelgeflogen,sein
neppen,geneppt,haben
narren,genarrt,haben
nähren,genährt,haben
münzen,gemünzt,haben
munden,gemundet,haben
mummeln,gemummelt,haben
mühen,gemüht,haben
mucksen,gemuckst,haben
drucksen,gedruckst,haben
moppen,gemoppt,haben
feudeln,gefeudelt,haben
makeln,gemakelt,haben
hakeln,gehakelt,haben
modeln,gemodelt,haben
lüpfen,gelüpft,haben
lotsen,gelotst,haben
loten,gelotet,haben
lindern,gelindert,haben
leiern,geleiert,haben
laugen,gelaugt,haben
kurven,gekurvt,sein
künden,gekündet,haben
kümmeln,gekümmelt,haben
krümeln,gekrümelt,haben
kugeln,gekugelt,haben
kraulen,gekrault,haben
kränzen,gekränzt,haben
krampfen,gekrampft,haben
kontakten,kontaktet,haben
kohlen,gekohlt,haben
überflügeln,überflügelt,haben
knicksen,geknickst,haben
knickern,geknickert,haben
knäueln,geknäuelt,haben
klöppeln,geklöppelt,haben
kloppen,gekloppt,haben
knäulen,geknäult,haben
klimmen,geklommen,sein
kleistern,gekleistert,haben
kippeln,gekippelt,haben
keilen,gekeilt,haben
ketzern,geketzert,haben
kalken,gekalkt,haben
kälken,gekälkt,haben
saven,gesavt,haben
kübeln,gekübelt,haben
korken,gekorkt,haben
knorren,geknorrt,haben
jetten,gejettet,sein
ketten,gekettet,haben
innovieren,innoviert,haben
forwarden,geforwardet,haben
talken,getalkt,haben
jumpen,gejumpt,sein
hopsen,gehopst,sein
flottkommen,flottgekommen,sein
recykeln,recykelt,haben
recyclieren,recycliert,haben
recyklieren,recykliert,haben
jammen,gejammt,haben
daten,gedatet,haben
transplantieren,transplantiert,haben
entledigen,entledigt,haben
promoten,promotet,haben
reviewen,gereviewt,haben
layouten,gelayoutet,haben
tunen,getunt,haben
brainstormen,gebrainstormt,haben
matchen,gematcht,haben
sampeln,gesampelt,haben
samplen,gesamplet,haben
clicken,geclickt,haben
fighten,gefightet,haben
raffinieren,raffiniert,haben
erliegen,erlegen,sein
hutzeln,gehutzelt,sein
hüsteln,gehüstelt,haben
künsteln,gekünstelt,haben
hökern,gehökert,haben
höken,gehökt,haben
hexen,gehext,haben
heuern,geheuert,haben
klumpen,geklumpt,haben
härmen,gehärmt,haben
hangeln,gehangelt,haben
gründeln,gegründelt,haben
grasen,gegrast,haben
gewichten,gewichtet,haben
wichten,gewichtet,haben
gelieren,geliert,haben
geistern,gegeistert,haben
frömmeln,gefrömmelt,haben
flaggen,geflaggt,haben
flippern,geflippert,haben
tilten,getiltet,haben
tillen,getillt,sein
flammen,geflammt,haben
flämmen,geflämmt,haben
fiedeln,gefiedelt,haben
bratschen,gebratscht,haben
klampfen,geklampft,haben
klavieren,klaviert,haben
androhen,angedroht,haben
hörnen,gehörnt,haben
entsenden,entsendet,haben
glucken,gegluckt,haben
gackeln,gegackelt,haben
gacksen,gegackst,haben
gicksen,gegickst,haben
giksen,gegikst,haben
fackeln,gefackelt,haben
fiebern,gefiebert,haben
hippeln,gehippelt,haben
hibbeln,gehibbelt,haben
federn,gefedert,haben
fiedern,gefiedert,haben
fälteln,gefältelt,haben
fächeln,gefächelt,haben
fächern,gefächert,haben
fachsimpeln,gefachsimpelt,haben
erden,geerdet,haben
eifern,geeifert,haben
pikieren,pikiert,haben
eggen,geeggt,haben
instand setzen,instandgesetzt,haben
duseln,geduselt,haben
dröseln,gedröselt,haben
deuteln,gedeutelt,haben
unterwerfen,unterworfen,haben
bummern,gebummert,haben
bubbern,gebubbert,haben
pumpern,gepumpert,haben
beeiden,beeidet,haben
willkommen heißen,willkommen geheißen,haben
bewillkommnen,bewillkommnet,haben
buckeln,gebuckelt,haben
dienern,gedienert,haben
broschieren,broschiert,haben
brodieren,brodiert,haben
bauschen,gebauscht,haben
bändern,gebändert,haben
bammeln,gebammelt,haben
einkellern,eingekellert,haben
älteln,geältelt,sein
altertümeln,gealtertümelt,haben
alternieren,alterniert,haben
alliterieren,alliteriert,haben
archaisieren,archaisiert,haben
altmachen,altgemacht,haben
apern,geapert,haben
arten,geartet,haben
spedieren,spediert,haben
asten,geastet,haben
äthern,geäthert,haben
ätherisieren,ätherisiert,haben
anästhetisieren,anästhetisiert,haben
chloroformieren,chloroformiert,haben
armmachen,armgemacht,haben
äugen,geäugt,haben
äugeln,geäugelt,haben
okulieren,okuliert,haben
verdämmern,verdämmert,haben
hinwirken,hingewirkt,haben
blinkern,geblinkert,haben
plinkern,geplinkert,haben
proportionieren,proportioniert,haben
einreisen,eingereist,sein
ausreisen,ausgereist,sein
fortdauern,fortgedauert,haben
zustehen,zugestanden,haben
zuweisen,zugewiesen,haben
vorliegen,vorgelegen,haben
betonnen,betonnt,haben
betasten,betastet,haben
antasten,angetastet,haben
entideologisieren,entideologisiert,haben
entindividualisieren,entindividualisiert,haben
entkalken,entkalkt,haben
entkoffeinieren,entkoffeiniert,haben
entkolonialisieren,entkolonialisiert,haben
entkolonisieren,entkolonisiert,haben
dekolonisieren,dekolonisiert,haben
angrabschen,angegrabscht,haben
begrabschen,begrabscht,haben
begrapschen,begrapscht,haben
befummeln,befummelt,haben
betatschen,betatscht,haben
beatmen,beatmet,haben
befrachten,befrachtet,haben
entkriminalisieren,entkriminalisiert,haben
entlangblicken,entlanggeblickt,haben
entlangfahren,entlanggefahren,sein
reproduzieren,reproduziert,haben
überschlagen,überschlagen,haben
entlangfliegen,entlanggeflogen,sein
frachten,gefrachtet,haben
begnaden,begnadet,haben
berauschen,berauscht,haben
sattsehen,sattgesehen,haben
benebeln,benebelt,haben
gnaden,gegnadet,haben
bewölken,bewölkt,haben
wölken,gewölkt,haben
plattmachen,plattgemacht,haben
liquidieren,liquidiert,haben
totschlagen,totgeschlagen,haben
planieren,planiert,haben
bezwecken,bezweckt,haben
zwecken,gezweckt,haben
bewirtschaften,bewirtschaftet,haben
wirtschaften,gewirtschaftet,haben
bezähmen,bezähmt,haben
bemänteln,bemäntelt,haben
beeidigen,beeidigt,haben
beschenken,beschenkt,haben
beendigen,beendigt,haben
beschwichtigen,beschwichtigt,haben
beschallen,beschallt,haben
beengen,beengt,haben
beschranken,beschrankt,haben
bespitzeln,bespitzelt,haben
spitzeln,gespitzelt,haben
bepflastern,bepflastert,haben
bekleben,beklebt,haben
beharken,beharkt,haben
beschießen,beschossen,haben
beschwatzen,beschwatzt,haben
entmüllen,entmüllt,haben
bomben,gebombt,haben
teilhaben,teilgehabt,haben
offenstehen,offengestanden,haben
betanken,betankt,haben
begradigen,begradigt,haben
bestürmen,bestürmt,haben
beklauen,beklaut,haben
ausräubern,ausgeräubert,haben
bestehlen,bestohlen,haben
veruntreuen,veruntreut,haben
leerräumen,leergeräumt,haben
besohlen,besohlt,haben
sohlen,gesohlt,haben
anschwindeln,angeschwindelt,haben
befehligen,befehligt,haben
revolutionieren,revolutioniert,haben
besolden,besoldet,haben
beschichten,beschichtet,haben
beseelen,beseelt,haben
bespielen,bespielt,haben
bestallen,bestallt,haben
bessemern,gebessemert,haben
hinknien,hingekniet,haben
besteuern,besteuert,haben
bestäuben,bestäubt,haben
befeuern,befeuert,haben
bespritzen,bespritzt,haben
besprühen,besprüht,haben
bedampfen,bedampft,haben
besprengen,besprengt,haben
berieseln,berieselt,haben
verpieseln,verpieselt,haben
besprenkeln,besprenkelt,haben
abtrocknen,abgetrocknet,haben
benässen,benässt,haben
bemessen,bemessen,haben
bestürzen,bestürzt,haben
beurlauben,beurlaubt,haben
beurkunden,beurkundet,haben
urkunden,geurkundet,haben
benagen,benagt,haben
besamen,besamt,haben
beglotzen,beglotzt,haben
bemächtigen,bemächtigt,haben
belobigen,belobigt,haben
beloben,belobt,haben
bekunden,bekundet,haben
bezeugen,bezeugt,haben
ausparken,ausgeparkt,haben
besserstellen,bessergestellt,haben
privilegieren,privilegiert,haben
zugestehen,zugestanden,haben
bewandern,bewandert,haben
bevollmächtigen,bevollmächtigt,haben
belämmern,belämmert,haben
beköstigen,beköstigt,haben
balbieren,balbiert,haben
bekleckern,bekleckert,haben
beklecksen,bekleckst,haben
beängstigen,beängstigt,haben
bedrucken,bedruckt,haben
bekümmern,bekümmert,haben
beerben,beerbt,haben
beheizen,beheizt,haben
bereisen,bereist,haben
beflaggen,beflaggt,haben
befehden,befehdet,haben
befugen,befugt,haben
beehren,beehrt,haben
fabeln,gefabelt,haben
bekränzen,bekränzt,haben
belorbeeren,belorbeert,haben
betrauern,betrauert,haben
belachen,belacht,haben
bespannen,bespannt,haben
bemannen,bemannt,haben
befeinden,befeindet,haben
begütigen,begütigt,haben
zureden,zugeredet,haben
belaufen,belaufen,haben
besabbeln,besabbelt,haben
beschnacken,beschnackt,haben
bekakeln,bekakelt,haben
kakeln,gekakelt,haben
weichkochen,weichgekocht,haben
weichklopfen,weichgeklopft,haben
bequatschen,bequatscht,haben
beschwipsen,beschwipst,haben
bezechen,bezecht,haben
beduseln,beduselt,haben
bedudeln,bedudelt,haben
beschildern,beschildert,haben
niederstrecken,niedergestreckt,haben
beeumeln,beeumelt,haben
beölen,beölt,haben
schieflachen,schiefgelacht,haben
eumeln,geeumelt,haben
totlachen,totgelacht,haben
bebrüten,bebrütet,haben
nachtragen,nachgetragen,haben
begrabbeln,begrabbelt,haben
betätscheln,betätschelt,haben
begucken,beguckt,haben
bekucken,bekuckt,haben
behausen,behaust,haben
befliegen,beflogen,haben
befischen,befischt,haben
befluten,beflutet,haben
behämmern,behämmert,haben
behauen,behauen,haben
behüten,behütet,haben
beschirmen,beschirmt,haben
beknien,bekniet,haben
behufen,behuft,haben
beirren,beirrt,haben
bejubeln,bejubelt,haben
bekotzen,bekotzt,haben
labilisieren,labilisiert,haben
bekoten,bekotet,haben
bekacken,bekackt,haben
beklieren,bekliert,haben
beklopfen,beklopft,haben
bekosten,bekostet,haben
bekritzeln,bekritzelt,haben
bekritteln,bekrittelt,haben
bemäkeln,bemäkelt,haben
bemakeln,bemakelt,haben
belehren,belehrt,haben
beleihen,beliehen,haben
dreiteilen,dreigeteilt,haben
pinnen,gepinnt,haben
belichten,belichtet,haben
bemeistern,bemeistert,haben
bemopsen,bemopst,haben
bemogeln,bemogelt,haben
beschummeln,beschummelt,haben
beschupsen,beschupst,haben
schupsen,geschupst,haben
bepacken,bepackt,haben
bepinseln,bepinselt,haben
herumtreiben,herumgetrieben,haben
instigieren,instigiert,haben
instillieren,instilliert,haben
zerkochen,zerkocht,haben
umsäbeln,umgesäbelt,haben
schmollieren,schmolliert,haben
benähen,benäht,haben
benageln,benagelt,haben
beniesen,beniest,haben
bepinkeln,bepinkelt,haben
beplauschen,beplauscht,haben
bequasseln,bequasselt,haben
bepudern,bepudert,haben
beschwätzen,beschwätzt,haben
beschwingen,beschwingt,haben
besegeln,besegelt,haben
besprayen,besprayt,haben
bespringen,besprungen,haben
beschnuppern,beschnuppert,haben
beangeln,beangelt,haben
bekriechen,bekrochen,haben
bekrabbeln,bekrabbelt,haben
beködern,beködert,haben
bekringeln,bekringelt,haben
behauchen,behaucht,haben
bespeien,bespien,haben
beschmeißen,beschmissen,haben
beschmunzeln,beschmunzelt,haben
beschnüffeln,beschnüffelt,haben
hineingeheimnissen,hineingeheimnisst,haben
behexen,behext,haben
beschuhen,beschuht,haben
beschmuhen,beschmuht,haben
bekleistern,bekleistert,haben
besäen,besät,haben
beschütten,beschüttet,haben
belehnen,belehnt,haben
beseichen,beseicht,haben
bespicken,bespickt,haben
beriechen,berochen,haben
berühmen,berühmt,haben
beschmusen,beschmust,haben
beschreiten,beschritten,haben
beschreien,beschrien,haben
sudern,gesudert,haben
bespucken,bespuckt,haben
beschottern,beschottert,haben
begaunern,begaunert,haben
gaunern,gegaunert,haben
beklimmen,beklommen,haben
behaaren,behaart,haben
bebändern,bebändert,haben
bewachsen,bewachsen,haben
betakeln,betakelt,haben
bestempeln,bestempelt,haben
beweiden,beweidet,haben
bewähren,bewährt,haben
bewahrheiten,bewahrheitet,haben
bewalden,bewaldet,haben
bestauben,bestaubt,haben
betölpeln,betölpelt,haben
behäufeln,behäufelt,haben
belackmeiern,belackmeiert,haben
belobhudeln,belobhudelt,haben
besticken,bestickt,haben
besticheln,bestichelt,haben
betrauen,betraut,haben
herniederbrechen,herniedergebrochen,sein
lackmeiern,gelackmeiert,haben
anthropomorphisieren,anthropomorphisiert,haben
bestöhnen,bestöhnt,haben
verwöhnen,verwöhnt,haben
bestrahlen,bestrahlt,haben
bestreben,bestrebt,haben
bestreichen,bestrichen,haben
bestreiken,bestreikt,haben
aussperren,ausgesperrt,haben
herniederbrennen,herniedergebrannt,haben
bemachen,bemacht,haben
belutschen,belutscht,haben
bekauen,bekaut,haben
bejagen,bejagt,haben
begeifern,begeifert,haben
beäugeln,beäugelt,haben
beaugapfeln,beaugapfelt,haben
beaugenscheinigen,beaugenscheinigt,haben
bewerfen,beworfen,haben
bewickeln,bewickelt,haben
betauen,betaut,haben
betrampeln,betrampelt,haben
beträufeln,beträufelt,haben
bevorteilen,bevorteilt,haben
bestrümpfen,bestrümpft,haben
bestricken,bestrickt,haben
bewitzeln,bewitzelt,haben
beimpfen,beimpft,haben
behobeln,behobelt,haben
behorchen,behorcht,haben
beflicken,beflickt,haben
entkernen,entkernt,haben
schlechtreden,schlechtgeredet,haben
vervielfachen,vervielfacht,haben
verzweifachen,verzweifacht,haben
dahinvegetieren,dahinvegetiert,haben
behören,behört,haben
bekohlen,bekohlt,haben
beschalten,beschaltet,haben
besäuseln,besäuselt,haben
beseufzen,beseufzt,haben
beschäumen,beschäumt,haben
besäumen,besäumt,haben
benummern,benummert,haben
verbrühen,verbrüht,haben
nummern,genummert,haben
bespotten,bespottet,haben
bescherzen,bescherzt,haben
vegetieren,vegetiert,haben
bleibenlassen,bleibengelassen,haben
verkneifen,verkniffen,haben
geschehen lassen,geschehen lassen,haben
zurücklassen,zurückgelassen,haben
dahinmetzeln,dahingemetzelt,haben
quabbeln,gequabbelt,haben
beeifern,beeifert,haben
ausleuchten,ausgeleuchtet,haben
bekrönen,bekrönt,haben
beklönen,beklönt,haben
bekanten,bekantet,haben
beglänzen,beglänzt,haben
beflegeln,beflegelt,haben
bekaufen,bekauft,haben
bedichten,bedichtet,haben
hinmetzeln,hingemetzelt,haben
hinmorden,hingemordet,haben
emporfahren,emporgefahren,sein
emporheben,emporgehoben,haben
korrektionieren,korrektioniert,haben
bedämpfen,bedämpft,haben
behacken,behackt,haben
beklettern,beklettert,haben
bevettern,bevettert,haben
bevatern,bevatert,haben
geleiten,geleitet,haben
bewettern,bewettert,haben
bekneifen,bekniffen,haben
bekeifen,bekeift,haben
bezielen,bezielt,haben
bedräuen,bedräut,haben
befürsorgen,befürsorgt,haben
beknospen,beknospt,haben
bekomplimentieren,bekomplimentiert,haben
emporkriechen,emporgekrochen,sein
emporreißen,emporgerissen,haben
bestutzen,bestutzt,haben
